Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_3ec1bd22	e	There he is - wow, he looks dapper! Why on earth is he in a suit and tie? I didn’t think they were going to break ground at the construction site this early.	game/script.rpy	27	e "[what]"
start_61b2c2cd	e	Where is he going? Is he meeting someone?	game/script.rpy	30	e "[what]"
start_79da9042	e	Another... woman?	game/script.rpy	33	e "[what]"
start_dd019074	e	I’m rooted to the ground, frozen on the street across from his workplace. I watch as he strides purposefully away from me.	game/script.rpy	35	e "[what]"
start_99f620de	e	I woke up this morning and reached across the bed, hopeful. I am quickly disappointed, like I have been every morning for the past year.	game/script.rpy	37	e "[what]"
start_d7e41895	e	I shuffled from the bedroom to the kitchen. There, I’m greeted by the only men in my life: Mr. Coffee and good old cuppa Joe.	game/script.rpy	39	e "[what]"
start_281d42df	e	Joe always comes with me to my office. He sits with me through endless online meetings with checkerboards of faces - colleagues that I barely know.	game/script.rpy	41	e "[what]"
start_fe7a8752	e	I usually have my video turned off at these meetings. That way I don’t embarrass myself while I daydream about our luscious CEO.	game/script.rpy	43	e "[what]"
start_b714e96d	e	It’s not like I’m getting any at home. I would never go so far as to do anything about it, though.	game/script.rpy	45	e "[what]"
start_01dd2ff0	e	Is he cheating on me?	game/script.rpy	47	e "[what]"
start_ff199b2b	e	I couldn’t stand being lonely in the apartment any more. I envied his job. He can go out and talk to people every day.	game/script.rpy	49	e "[what]"
start_51dd8fe1	e	Hear voices unfiltered through speakers. See people in the flesh. Smell the musk and moisture of other living beings.	game/script.rpy	51	e "[what]"
start_d29c8895	e	Feel the heat rising from another warm body.	game/script.rpy	53	e "[what]"
start_60af2f28	e	I decided to surprise him at work with lunch.	game/script.rpy	55	e "[what]"
start_03f20408	e	I was in a hurry when I left the apartment. I almost forgot my backpack - I never go anywhere without it.	game/script.rpy	57	e "[what]"
start_dcf2a23d	e	Now I see that surprising him was a terrible idea. He has gone so far down the street that I almost lose sight of him.	game/script.rpy	59	e "[what]"
choice_a_d58df3ba	e	I sprint across to keep him in view, then slow and follow him from a distance.	game/script.rpy	63	e "[what]"
choice_a_0c54b634	e	The city is unfamiliar to me. He picks up his pace, as if in a hurry. I start jogging to keep up.	game/script.rpy	65	e "[what]"
choice_a_12d6dca7	e	He stops abruptly outside a nondescript building, then disappears inside. I quickly follow, scanning the sign above the entrance.	game/script.rpy	67	e "[what]"
choice_a_400b981d	e	A funeral home?	game/script.rpy	69	e "[what]"
choice_a_18d07e70	e	No one’s in the lobby. A glass door swings shut to my right. I cautiously peek in.	game/script.rpy	71	e "[what]"
choice_a_3d00906b	e	He takes a front row seat. A few strangers are scattered around the room.	game/script.rpy	73	e "[what]"
choice_a_e0230d41	e	The woman’s portrait beside the casket startles me.	game/script.rpy	75	e "[what]"
choice_a_70ca2a95	e	It’s my picture. I gasp, loud enough that everyone turns to look at me, including him.	game/script.rpy	77	e "[what]"
choice_a_2224125f	e	He stares blankly but politely at me. I step in towards him.	game/script.rpy	79	e "[what]"
choice_a_11707ef5	e	What’s going on?	game/script.rpy	81	e "[what]"
choice_a_acc774b0	e	Are you here for my wife’s wake, he asks.	game/script.rpy	83	e "[what]"
choice_a_cdf7ed26	e	What cruel joke are you playing on me? I’m your wife!	game/script.rpy	85	e "[what]"
choice_a_78f5ee24	e	He jerks backwards from me, brows furrowing in anger. Get away from me, he screams.	game/script.rpy	87	e "[what]"
choice_a_f8f9f720	e	The fear in his voice is palpable. I am frantic.	game/script.rpy	89	e "[what]"
choice_a_ec6a749d	e	It’s her, he yells at the others.	game/script.rpy	91	e "[what]"
choice_a_f36a4bdc	e	Yes, it’s me! Your wife!	game/script.rpy	93	e "[what]"
choice_a_d3dbb434	e	He ignores me. It’s her, the evil parasite, he continues yelling.	game/script.rpy	95	e "[what]"
choice_a_0e85a5d9	e	A robed man rushes at me, shouting.	game/script.rpy	97	e "[what]"
choice_a_18529212	e	You’ve taken this woman’s life, spirit! What more do you want? 	game/script.rpy	99	e "[what]"
choice_a_e9f412f4	e	Leave now, leave this family alone, he warns.	game/script.rpy	101	e "[what]"
choice_a_f8968dbb	e	He waves a book at me menacingly. Pain splits my head. I fish my wallet out of my backpack and hurl it at them.	game/script.rpy	103	e "[what]"
choice_a_cfc64e32	e	Look! It’s me! I’m your wife!	game/script.rpy	105	e "[what]"
choice_a_510fefe2	e	All I hear is more shouting at me. Leave, parasite, leave, the voices scream.	game/script.rpy	107	e "[what]"
choice_a_489b62ac	e	No, no! It’s my life! Mine!	game/script.rpy	109	e "[what]"
choice_a_dfa83937	e	This life is mine!	game/script.rpy	111	e "[what]"
choice_b_db308ac3	e	I yell his name.	game/script.rpy	115	e "[what]"
choice_b_3650ca0f	e	He doesn’t stop or turn back.	game/script.rpy	117	e "[what]"
choice_b_42538902	e	He’s too far ahead!	game/script.rpy	119	e "[what]"
choice_b_a0388730	e	I sprint across the street, still calling after him.	game/script.rpy	121	e "[what]"
choice_b_d369fbf4	e	He must have his music on.	game/script.rpy	123	e "[what]"
choice_b_3c63c592	e	I’m close enough now to reach out. I lay my hand on his shoulder.	game/script.rpy	125	e "[what]"
choice_b_3e549345	e	Babe...	game/script.rpy	127	e "[what]"
choice_b_189bb80c	e	Startled, he comes to an abrupt halt, but he doesn’t turn around. He covers my hand on his shoulder with his and squeezes.	game/script.rpy	129	e "[what]"
choice_b_76c8224e	e	I’ve been calling you! Where are you going?	game/script.rpy	131	e "[what]"
choice_b_af838634	e	His hand falls from mine. He doesn’t respond. In fact, he starts walking again, completely ignoring me.	game/script.rpy	133	e "[what]"
choice_b_bbe46483	e	Babe!	game/script.rpy	135	e "[what]"
choice_b_9ea8bbb0	e	He picks up his pace as I run after him. He waves at someone I can’t see ahead of him.	game/script.rpy	137	e "[what]"
choice_b_d36f164b	e	Then, he stops. I catch up to him.	game/script.rpy	139	e "[what]"
choice_b_26c05d7f	e	The hell, babe? Why are you running from me?	game/script.rpy	141	e "[what]"
choice_b_1c578f8e	e	Confused, I walk around to face him.	game/script.rpy	143	e "[what]"
choice_b_f9819d76	e	He is beaming, but he isn’t looking at me. He’s looking right through me.	game/script.rpy	145	e "[what]"
choice_b_9740a843	e	I hear a feminine voice call, sweetheart.	game/script.rpy	147	e "[what]"
choice_b_f4498244	e	Before I can turn around, a buzz goes through my body. I’m suddenly wracked by visions of twisted sheets and lusty moans in my brain.	game/script.rpy	149	e "[what]"
choice_b_a899e120	e	I step back away from him, shocked, and watch a pair of arms that aren’t mine circle his neck.	game/script.rpy	151	e "[what]"
choice_b_5762311a	e	She asks, is it done, and he nods.	game/script.rpy	153	e "[what]"
choice_b_f9442fec	e	They cannot see me! What the hell is going on?	game/script.rpy	155	e "[what]"
choice_b_3a8412ca	e	I scream in frustration as I watch them turn around and walk away. No one else on the street pays me any heed.	game/script.rpy	157	e "[what]"
choice_b_92c566ab	e	My whole body feels heavy. My backpack weighs me down like an anchor.	game/script.rpy	159	e "[what]"
choice_b_bca264a4	e	I can’t let him get away with whatever the hell is happening.	game/script.rpy	161	e "[what]"
choice_b_18731d7c	e	I chase after them. I call him again. This time I’m no longer surprised he doesn’t hear me.	game/script.rpy	163	e "[what]"
choice_b_14605a2c	e	When I catch up to them, I snake both my arms around his neck from behind and pull myself up.	game/script.rpy	165	e "[what]"
choice_b_3353cf26	e	I wrap my legs around his waist. His gait slows a little and his shoulders hunch but he keeps on walking.	game/script.rpy	167	e "[what]"
choice_b_aadc3b93	e	I grip him tightly, pulling my face to the back of his neck. I sniff his scent and lick the fuzz just above his collar.	game/script.rpy	169	e "[what]"
